2017-09-19 16:22:49.880,INFO,2BYTE_LOG,Client time at send: 105166607,Server time at receive:105166607,Server time at send:105166607,Client time at receive:105166607,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.929,INFO,2BYTE_LOG,Client time at send: 105166654,Server time at receive:105166654,Server time at send:105166654,Client time at receive:105166654,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.933,INFO,2BYTE_LOG,Client time at send: 105166670,Server time at receive:105166670,Server time at send:105166670,Client time at receive:105166670,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.983,INFO,2BYTE_LOG,Client time at send: 105166716,Server time at receive:105166716,Server time at send:105166716,Client time at receive:105166716,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.987,INFO,2BYTE_LOG,Client time at send: 105166716,Server time at receive:105166716,Server time at send:105166716,Client time at receive:105166716,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.036,INFO,2BYTE_LOG,Client time at send: 105166763,Server time at receive:105166763,Server time at send:105166763,Client time at receive:105166763,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.041,INFO,2BYTE_LOG,Client time at send: 105166763,Server time at receive:105166779,Server time at send:105166779,Client time at receive:105166779,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:22:50.088,INFO,2BYTE_LOG,Client time at send: 105166826,Server time at receive:105166826,Server time at send:105166826,Client time at receive:105166826,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.093,INFO,2BYTE_LOG,Client time at send: 105166826,Server time at receive:105166826,Server time at send:105166826,Client time at receive:105166826,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.140,INFO,2BYTE_LOG,Client time at send: 105166872,Server time at receive:105166872,Server time at send:105166872,Client time at receive:105166872,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.145,INFO,2BYTE_LOG,Client time at send: 105166872,Server time at receive:105166872,Server time at send:105166872,Client time at receive:105166872,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.192,INFO,2BYTE_LOG,Client time at send: 105166919,Server time at receive:105166919,Server time at send:105166919,Client time at receive:105166919,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.196,INFO,2BYTE_LOG,Client time at send: 105166919,Server time at receive:105166935,Server time at send:105166935,Client time at receive:105166935,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:22:50.244,INFO,2BYTE_LOG,Client time at send: 105166982,Server time at receive:105166982,Server time at send:105166982,Client time at receive:105166982,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.248,INFO,2BYTE_LOG,Client time at send: 105166982,Server time at receive:105166982,Server time at send:105166982,Client time at receive:105166982,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.296,INFO,2BYTE_LOG,Client time at send: 105167028,Server time at receive:105167028,Server time at send:105167028,Client time at receive:105167028,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.300,INFO,2BYTE_LOG,Client time at send: 105167028,Server time at receive:105167028,Server time at send:105167028,Client time at receive:105167028,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.348,INFO,2BYTE_LOG,Client time at send: 105167075,Server time at receive:105167075,Server time at send:105167075,Client time at receive:105167075,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.352,INFO,2BYTE_LOG,Client time at send: 105167075,Server time at receive:105167075,Server time at send:105167075,Client time at receive:105167091,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:22:50.400,INFO,2BYTE_LOG,Client time at send: 105167138,Server time at receive:105167138,Server time at send:105167138,Client time at receive:105167138,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.404,INFO,2BYTE_LOG,Client time at send: 105167138,Server time at receive:105167138,Server time at send:105167138,Client time at receive:105167138,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.452,INFO,2BYTE_LOG,Client time at send: 105167184,Server time at receive:105167184,Server time at send:105167184,Client time at receive:105167184,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.456,INFO,2BYTE_LOG,Client time at send: 105167184,Server time at receive:105167184,Server time at send:105167184,Client time at receive:105167184,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.504,INFO,2BYTE_LOG,Client time at send: 105167231,Server time at receive:105167231,Server time at send:105167231,Client time at receive:105167231,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.508,INFO,2BYTE_LOG,Client time at send: 105167231,Server time at receive:105167231,Server time at send:105167231,Client time at receive:105167247,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:22:50.556,INFO,2BYTE_LOG,Client time at send: 105167294,Server time at receive:105167294,Server time at send:105167294,Client time at receive:105167294,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.560,INFO,2BYTE_LOG,Client time at send: 105167294,Server time at receive:105167294,Server time at send:105167294,Client time at receive:105167294,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.608,INFO,2BYTE_LOG,Client time at send: 105167340,Server time at receive:105167340,Server time at send:105167340,Client time at receive:105167340,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.613,INFO,2BYTE_LOG,Client time at send: 105167340,Server time at receive:105167340,Server time at send:105167340,Client time at receive:105167340,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.660,INFO,2BYTE_LOG,Client time at send: 105167387,Server time at receive:105167387,Server time at send:105167387,Client time at receive:105167387,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.665,INFO,2BYTE_LOG,Client time at send: 105167387,Server time at receive:105167403,Server time at send:105167403,Client time at receive:105167403,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:22:50.712,INFO,2BYTE_LOG,Client time at send: 105167450,Server time at receive:105167450,Server time at send:105167450,Client time at receive:105167450,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.716,INFO,2BYTE_LOG,Client time at send: 105167450,Server time at receive:105167450,Server time at send:105167450,Client time at receive:105167450,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.763,INFO,2BYTE_LOG,Client time at send: 105167496,Server time at receive:105167496,Server time at send:105167496,Client time at receive:105167496,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.768,INFO,2BYTE_LOG,Client time at send: 105167496,Server time at receive:105167496,Server time at send:105167496,Client time at receive:105167496,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.815,INFO,2BYTE_LOG,Client time at send: 105167543,Server time at receive:105167543,Server time at send:105167543,Client time at receive:105167543,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.820,INFO,2BYTE_LOG,Client time at send: 105167543,Server time at receive:105167543,Server time at send:105167543,Client time at receive:105167559,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:22:50.867,INFO,2BYTE_LOG,Client time at send: 105167590,Server time at receive:105167606,Server time at send:105167606,Client time at receive:105167606,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:22:50.871,INFO,2BYTE_LOG,Client time at send: 105167606,Server time at receive:105167606,Server time at send:105167606,Client time at receive:105167606,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.918,INFO,2BYTE_LOG,Client time at send: 105167652,Server time at receive:105167652,Server time at send:105167652,Client time at receive:105167652,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.922,INFO,2BYTE_LOG,Client time at send: 105167652,Server time at receive:105167652,Server time at send:105167652,Client time at receive:105167652,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.969,INFO,2BYTE_LOG,Client time at send: 105167699,Server time at receive:105167699,Server time at send:105167699,Client time at receive:105167699,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:50.974,INFO,2BYTE_LOG,Client time at send: 105167699,Server time at receive:105167699,Server time at send:105167699,Client time at receive:105167699,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.021,INFO,2BYTE_LOG,Client time at send: 105167746,Server time at receive:105167746,Server time at send:105167746,Client time at receive:105167746,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.025,INFO,2BYTE_LOG,Client time at send: 105167762,Server time at receive:105167762,Server time at send:105167762,Client time at receive:105167762,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.072,INFO,2BYTE_LOG,Client time at send: 105167808,Server time at receive:105167808,Server time at send:105167808,Client time at receive:105167808,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.076,INFO,2BYTE_LOG,Client time at send: 105167808,Server time at receive:105167808,Server time at send:105167808,Client time at receive:105167808,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.123,INFO,2BYTE_LOG,Client time at send: 105167855,Server time at receive:105167855,Server time at send:105167855,Client time at receive:105167855,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.127,INFO,2BYTE_LOG,Client time at send: 105167855,Server time at receive:105167855,Server time at send:105167855,Client time at receive:105167855,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.174,INFO,2BYTE_LOG,Client time at send: 105167902,Server time at receive:105167902,Server time at send:105167902,Client time at receive:105167902,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.178,INFO,2BYTE_LOG,Client time at send: 105167902,Server time at receive:105167902,Server time at send:105167902,Client time at receive:105167918,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:22:51.226,INFO,2BYTE_LOG,Client time at send: 105167949,Server time at receive:105167964,Server time at send:105167964,Client time at receive:105167964,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:22:51.231,INFO,2BYTE_LOG,Client time at send: 105167964,Server time at receive:105167964,Server time at send:105167964,Client time at receive:105167964,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.277,INFO,2BYTE_LOG,Client time at send: 105168011,Server time at receive:105168011,Server time at send:105168011,Client time at receive:105168011,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.285,INFO,2BYTE_LOG,Client time at send: 105168011,Server time at receive:105168011,Server time at send:105168011,Client time at receive:105168011,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.329,INFO,2BYTE_LOG,Client time at send: 105168058,Server time at receive:105168058,Server time at send:105168058,Client time at receive:105168058,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.336,INFO,2BYTE_LOG,Client time at send: 105168074,Server time at receive:105168074,Server time at send:105168074,Client time at receive:105168074,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.380,INFO,2BYTE_LOG,Client time at send: 105168105,Server time at receive:105168105,Server time at send:105168105,Client time at receive:105168105,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.388,INFO,2BYTE_LOG,Client time at send: 105168120,Server time at receive:105168120,Server time at send:105168120,Client time at receive:105168120,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.431,INFO,2BYTE_LOG,Client time at send: 105168167,Server time at receive:105168167,Server time at send:105168167,Client time at receive:105168167,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.439,INFO,2BYTE_LOG,Client time at send: 105168167,Server time at receive:105168167,Server time at send:105168167,Client time at receive:105168167,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.482,INFO,2BYTE_LOG,Client time at send: 105168214,Server time at receive:105168214,Server time at send:105168214,Client time at receive:105168214,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.493,INFO,2BYTE_LOG,Client time at send: 105168230,Server time at receive:105168230,Server time at send:105168230,Client time at receive:105168230,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.533,INFO,2BYTE_LOG,Client time at send: 105168261,Server time at receive:105168261,Server time at send:105168261,Client time at receive:105168261,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.545,INFO,2BYTE_LOG,Client time at send: 105168276,Server time at receive:105168276,Server time at send:105168276,Client time at receive:105168276,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.585,INFO,2BYTE_LOG,Client time at send: 105168308,Server time at receive:105168323,Server time at send:105168323,Client time at receive:105168323,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:22:51.597,INFO,2BYTE_LOG,Client time at send: 105168323,Server time at receive:105168323,Server time at send:105168323,Client time at receive:105168323,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.637,INFO,2BYTE_LOG,Client time at send: 105168370,Server time at receive:105168370,Server time at send:105168370,Client time at receive:105168370,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.648,INFO,2BYTE_LOG,Client time at send: 105168386,Server time at receive:105168386,Server time at send:105168386,Client time at receive:105168386,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.689,INFO,2BYTE_LOG,Client time at send: 105168417,Server time at receive:105168417,Server time at send:105168417,Client time at receive:105168417,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.701,INFO,2BYTE_LOG,Client time at send: 105168432,Server time at receive:105168432,Server time at send:105168432,Client time at receive:105168432,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.741,INFO,2BYTE_LOG,Client time at send: 105168479,Server time at receive:105168479,Server time at send:105168479,Client time at receive:105168479,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.753,INFO,2BYTE_LOG,Client time at send: 105168479,Server time at receive:105168479,Server time at send:105168479,Client time at receive:105168479,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.793,INFO,2BYTE_LOG,Client time at send: 105168526,Server time at receive:105168526,Server time at send:105168526,Client time at receive:105168526,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.805,INFO,2BYTE_LOG,Client time at send: 105168542,Server time at receive:105168542,Server time at send:105168542,Client time at receive:105168542,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.845,INFO,2BYTE_LOG,Client time at send: 105168573,Server time at receive:105168573,Server time at send:105168573,Client time at receive:105168573,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.857,INFO,2BYTE_LOG,Client time at send: 105168588,Server time at receive:105168588,Server time at send:105168588,Client time at receive:105168588,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:51.896,INFO,2BYTE_LOG,Client time at send: 105168620,Server time at receive:105168635,Server time at send:105168635,Client time at receive:105168635,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
