2017-09-20 09:30:08.561,INFO,1MB_LOG,Client time at send: 2131504,Server time at receive:2131566,Server time at send:2131566,Client time at receive:2131628,Client to server timespan:62,Server receive to server send timespan:0,Server send to client receive timespan:62,Round trip total time:124
2017-09-20 09:30:08.577,INFO,1MB_LOG,Client time at send: 2131628,Server time at receive:2131628,Server time at send:2131628,Client time at receive:2131644,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-20 09:30:08.671,INFO,1MB_LOG,Client time at send: 2131722,Server time at receive:2131738,Server time at send:2131738,Client time at receive:2131738,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:08.687,INFO,1MB_LOG,Client time at send: 2131738,Server time at receive:2131753,Server time at send:2131753,Client time at receive:2131753,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-20 09:30:08.750,INFO,1MB_LOG,Client time at send: 2131800,Server time at receive:2131831,Server time at send:2131831,Client time at receive:2131831,Client to server timespan:31,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:31
2017-09-20 09:30:08.766,INFO,1MB_LOG,Client time at send: 2131831,Server time at receive:2131831,Server time at send:2131831,Client time at receive:2131847,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-20 09:30:08.828,INFO,1MB_LOG,Client time at send: 2131894,Server time at receive:2131909,Server time at send:2131909,Client time at receive:2131909,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-20 09:30:08.844,INFO,1MB_LOG,Client time at send: 2131909,Server time at receive:2131925,Server time at send:2131925,Client time at receive:2131925,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:08.970,INFO,1MB_LOG,Client time at send: 2132018,Server time at receive:2132034,Server time at send:2132034,Client time at receive:2132034,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:08.985,INFO,1MB_LOG,Client time at send: 2132034,Server time at receive:2132050,Server time at send:2132050,Client time at receive:2132050,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.048,INFO,1MB_LOG,Client time at send: 2132112,Server time at receive:2132128,Server time at send:2132128,Client time at receive:2132128,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.079,INFO,1MB_LOG,Client time at send: 2132128,Server time at receive:2132143,Server time at send:2132143,Client time at receive:2132159,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:31
2017-09-20 09:30:09.126,INFO,1MB_LOG,Client time at send: 2132190,Server time at receive:2132190,Server time at send:2132206,Client time at receive:2132206,Client to server timespan:0,Server receive to server send timespan:16,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.157,INFO,1MB_LOG,Client time at send: 2132221,Server time at receive:2132221,Server time at send:2132221,Client time at receive:2132237,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-20 09:30:09.204,INFO,1MB_LOG,Client time at send: 2132268,Server time at receive:2132284,Server time at send:2132284,Client time at receive:2132284,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.235,INFO,1MB_LOG,Client time at send: 2132299,Server time at receive:2132315,Server time at send:2132315,Client time at receive:2132315,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.283,INFO,1MB_LOG,Client time at send: 2132346,Server time at receive:2132362,Server time at send:2132362,Client time at receive:2132362,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.314,INFO,1MB_LOG,Client time at send: 2132377,Server time at receive:2132377,Server time at send:2132393,Client time at receive:2132393,Client to server timespan:0,Server receive to server send timespan:16,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.361,INFO,1MB_LOG,Client time at send: 2132424,Server time at receive:2132424,Server time at send:2132424,Client time at receive:2132440,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-20 09:30:09.392,INFO,1MB_LOG,Client time at send: 2132455,Server time at receive:2132471,Server time at send:2132471,Client time at receive:2132471,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.439,INFO,1MB_LOG,Client time at send: 2132502,Server time at receive:2132518,Server time at send:2132518,Client time at receive:2132518,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.470,INFO,1MB_LOG,Client time at send: 2132533,Server time at receive:2132533,Server time at send:2132533,Client time at receive:2132549,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-20 09:30:09.502,INFO,1MB_LOG,Client time at send: 2132580,Server time at receive:2132596,Server time at send:2132596,Client time at receive:2132596,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.535,INFO,1MB_LOG,Client time at send: 2132611,Server time at receive:2132627,Server time at send:2132627,Client time at receive:2132627,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-20 09:30:09.595,INFO,1MB_LOG,Client time at send: 2132658,Server time at receive:2132658,Server time at send:2132658,Client time at receive:2132674,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
