2017-09-19 16:26:49.422,INFO,1MB_LOG,Client time at send: 105406131,Server time at receive:105406147,Server time at send:105406147,Client time at receive:105406147,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:49.472,INFO,1MB_LOG,Client time at send: 105406193,Server time at receive:105406193,Server time at send:105406193,Client time at receive:105406209,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.505,INFO,1MB_LOG,Client time at send: 105406209,Server time at receive:105406225,Server time at send:105406225,Client time at receive:105406225,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:49.552,INFO,1MB_LOG,Client time at send: 105406271,Server time at receive:105406271,Server time at send:105406271,Client time at receive:105406287,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.585,INFO,1MB_LOG,Client time at send: 105406303,Server time at receive:105406303,Server time at send:105406303,Client time at receive:105406318,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:49.629,INFO,1MB_LOG,Client time at send: 105406349,Server time at receive:105406349,Server time at send:105406349,Client time at receive:105406365,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.664,INFO,1MB_LOG,Client time at send: 105406381,Server time at receive:105406381,Server time at send:105406381,Client time at receive:105406396,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:49.708,INFO,1MB_LOG,Client time at send: 105406427,Server time at receive:105406427,Server time at send:105406427,Client time at receive:105406443,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.744,INFO,1MB_LOG,Client time at send: 105406459,Server time at receive:105406459,Server time at send:105406459,Client time at receive:105406474,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:49.787,INFO,1MB_LOG,Client time at send: 105406505,Server time at receive:105406505,Server time at send:105406505,Client time at receive:105406521,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.820,INFO,1MB_LOG,Client time at send: 105406537,Server time at receive:105406537,Server time at send:105406537,Client time at receive:105406552,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:49.867,INFO,1MB_LOG,Client time at send: 105406583,Server time at receive:105406583,Server time at send:105406583,Client time at receive:105406599,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.902,INFO,1MB_LOG,Client time at send: 105406615,Server time at receive:105406615,Server time at send:105406615,Client time at receive:105406630,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:49.944,INFO,1MB_LOG,Client time at send: 105406661,Server time at receive:105406661,Server time at send:105406661,Client time at receive:105406677,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:49.983,INFO,1MB_LOG,Client time at send: 105406693,Server time at receive:105406708,Server time at send:105406708,Client time at receive:105406708,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.025,INFO,1MB_LOG,Client time at send: 105406739,Server time at receive:105406739,Server time at send:105406739,Client time at receive:105406755,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.061,INFO,1MB_LOG,Client time at send: 105406771,Server time at receive:105406786,Server time at send:105406786,Client time at receive:105406786,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.105,INFO,1MB_LOG,Client time at send: 105406817,Server time at receive:105406833,Server time at send:105406833,Client time at receive:105406833,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:50.141,INFO,1MB_LOG,Client time at send: 105406849,Server time at receive:105406864,Server time at send:105406864,Client time at receive:105406864,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.182,INFO,1MB_LOG,Client time at send: 105406895,Server time at receive:105406895,Server time at send:105406895,Client time at receive:105406911,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.220,INFO,1MB_LOG,Client time at send: 105406927,Server time at receive:105406942,Server time at send:105406942,Client time at receive:105406942,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.264,INFO,1MB_LOG,Client time at send: 105406973,Server time at receive:105406973,Server time at send:105406973,Client time at receive:105406989,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.296,INFO,1MB_LOG,Client time at send: 105407005,Server time at receive:105407020,Server time at send:105407020,Client time at receive:105407020,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.346,INFO,1MB_LOG,Client time at send: 105407051,Server time at receive:105407067,Server time at send:105407067,Client time at receive:105407083,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:32
2017-09-19 16:26:50.374,INFO,1MB_LOG,Client time at send: 105407083,Server time at receive:105407098,Server time at send:105407098,Client time at receive:105407098,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.424,INFO,1MB_LOG,Client time at send: 105407145,Server time at receive:105407145,Server time at send:105407145,Client time at receive:105407161,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.454,INFO,1MB_LOG,Client time at send: 105407161,Server time at receive:105407176,Server time at send:105407176,Client time at receive:105407176,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.504,INFO,1MB_LOG,Client time at send: 105407223,Server time at receive:105407223,Server time at send:105407223,Client time at receive:105407223,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:26:50.530,INFO,1MB_LOG,Client time at send: 105407239,Server time at receive:105407254,Server time at send:105407254,Client time at receive:105407254,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.585,INFO,1MB_LOG,Client time at send: 105407301,Server time at receive:105407301,Server time at send:105407301,Client time at receive:105407317,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.613,INFO,1MB_LOG,Client time at send: 105407317,Server time at receive:105407332,Server time at send:105407332,Client time at receive:105407348,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:31
2017-09-19 16:26:50.674,INFO,1MB_LOG,Client time at send: 105407379,Server time at receive:105407379,Server time at send:105407379,Client time at receive:105407395,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.693,INFO,1MB_LOG,Client time at send: 105407410,Server time at receive:105407410,Server time at send:105407410,Client time at receive:105407426,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.757,INFO,1MB_LOG,Client time at send: 105407473,Server time at receive:105407473,Server time at send:105407473,Client time at receive:105407488,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:50.772,INFO,1MB_LOG,Client time at send: 105407488,Server time at receive:105407488,Server time at send:105407488,Client time at receive:105407504,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:50.840,INFO,1MB_LOG,Client time at send: 105407551,Server time at receive:105407551,Server time at send:105407551,Client time at receive:105407566,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:50.854,INFO,1MB_LOG,Client time at send: 105407566,Server time at receive:105407582,Server time at send:105407582,Client time at receive:105407582,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:50.918,INFO,1MB_LOG,Client time at send: 105407629,Server time at receive:105407644,Server time at send:105407644,Client time at receive:105407644,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:50.936,INFO,1MB_LOG,Client time at send: 105407644,Server time at receive:105407660,Server time at send:105407660,Client time at receive:105407660,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:50.996,INFO,1MB_LOG,Client time at send: 105407707,Server time at receive:105407722,Server time at send:105407722,Client time at receive:105407722,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.023,INFO,1MB_LOG,Client time at send: 105407738,Server time at receive:105407738,Server time at send:105407738,Client time at receive:105407753,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:51.072,INFO,1MB_LOG,Client time at send: 105407785,Server time at receive:105407800,Server time at send:105407800,Client time at receive:105407800,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.101,INFO,1MB_LOG,Client time at send: 105407816,Server time at receive:105407816,Server time at send:105407816,Client time at receive:105407831,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:51.152,INFO,1MB_LOG,Client time at send: 105407863,Server time at receive:105407878,Server time at send:105407878,Client time at receive:105407878,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.179,INFO,1MB_LOG,Client time at send: 105407894,Server time at receive:105407894,Server time at send:105407894,Client time at receive:105407909,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:51.228,INFO,1MB_LOG,Client time at send: 105407941,Server time at receive:105407956,Server time at send:105407956,Client time at receive:105407956,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:51.260,INFO,1MB_LOG,Client time at send: 105407972,Server time at receive:105407987,Server time at send:105407987,Client time at receive:105407987,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
